indexName,documentTypeName,TR_DTM,EBNK_MED_DSC,COPR_DS,LANG_DS,E_FNC_USR_OS_DSC,E_FNC_LGIN_DSC,NBNK_C,RMS_SVC_C,E_FNC_USR_DVIC_INF_CNTN,E_FNC_USR_ACS_DSC,E_FNC_MED_SVCID,E_FNC_MED_SVRNM,E_FNC_RSP_C,EXE_YN,Amount,E_FNC_TR_ACNO_C,IO_EA_DD1_FTR_LMT3,IO_EA_TM1_FTR_LMT3,IO_EA_PW_CD_DS1,IO_EA_PW_CD_DS2,IO_EA_PW_CD_DS3,PRE_ASSIGN_YN,SMS_AUTHEN_YN,EXCEPT_REGIST,EXCEPTION_ADD_AUTHEN_YN,SMART_AUTHEN_YN,ATTC_DS,FTR_DS2,RV_AC_DGN_YN2,IO_EA_DPZ_PL_IMP_BAC,IO_EA_TOT_BAC6,IO_EA_RMT_FEE1,securityMediaType,workType,workGbn,FDS_IDEN,country,doaddress,pc_PubIpCntryCd,pc_isProxy,pc_PrxyCntryCd,pc_isVpn,pc_VpnCntryCd,pc_FORGERY_MAC_YN,pc_FORGERY_MAC_ETH0_YN,pc_FORGERY_MAC_ETH1_YN,pc_FORGERY_MAC_ETH2_YN,pc_FORGERY_MAC_ETH3_YN,pc_FORGERY_MAC_ETH4_YN,pc_FORGERY_MAC_ETH5_YN,pc_HdModel,pc_BwVsnCd,pc_isVm,pc_vmName,pc_SCAN_CNT_DETECT,pc_SCAN_CNT_CURED,pc_os,pc_OsLangCd,pc_OsRemoteYn,pc_OS_FIREWALL_CD,pc_REMOTE_YN,pc_RemoteProg,pc_RemotePORT,pc_remoteInfo1,pc_remoteInfo2,pc_remoteInfo3,pc_remoteInfo4,pc_remoteInfo5,pc_remoteInfo6,pc_remoteInfo7,pc_remoteInfo8,pc_isWinDefender,pc_isWinFirewall,pc_isCertMisuse,sm_deviceModel,sm_osVersion,sm_service,sm_locale,sm_network,sm_jailBreak,sm_roaming,sm_wifiApSsid,sm_mobileAPSsid,blockingType,totalScore,processState,pc_foresicInfo,isForeigner,isNewAccount,isNewDevice
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAOPCA07I0,iPhone 7,99,NSBHJ200R,16.82-08,,,0,,0,0,,,,,,,,,,,,0,0,,2,2,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0,,,,,,-1,,,,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,21,,KO,4,3,,EAIPROGGR0,SM-G977N,99,NSAC1010R,16.82-04,,,0,,50000,10000,0,11,,0,3,0,0,0,,2,1,0,0,,5,CERT,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,SM-G977N,11,Uyou,ko_KR,WIFI,-1,N,<unknown ssid>,,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,21,,KO,4,3,,EAIPROGGR0,SM-G977N,99,NSAC1010R,16.82-04,,,0,,50000,10000,0,11,,0,3,0,0,0,,2,1,0,0,,5,CERT,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,SM-G977N,11,Uyou,ko_KR,WIFI,-1,N,<unknown ssid>,,BC,0,FRAUD,,,,
nacf_2022.11.17,message,2022-11-17 14:54,21,,KO,4,3,,EAIPROGGR0,SM-G960N,99,NSAC1010R,16.83-02,,,0,,50000,10000,0,11,,0,3,0,0,0,,2,1,0,0,,5,CERT,1,null,KR,18,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,SM-G960N,10,SKTelecom,ko_KR,WIFI,-1,N,<unknown ssid>,SKTelecom,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAIPROGGR0,iPhone X,99,NSAC1010R,16.82-01,,,0,,50000,10000,0,11,,0,0,0,0,0,6,1,1,0,0,,5,CERT,2,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,"iPhone10,6",14.4.2,ñé??÷×,ko_KR,WIFI,0,,,ñé??÷×,BC,20,FRAUD,,,,
nacf_2022.11.17,message,2022-11-17 14:54,21,,KO,4,3,,EAIPROGGR0,SM-G960N,99,NSAC1010R,16.83-02,,,0,,50000,10000,0,11,,0,3,0,0,0,,2,1,0,0,,5,CERT,1,null,KR,18,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,SM-G960N,10,SKTelecom,ko_KR,WIFI,-1,N,<unknown ssid>,SKTelecom,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,5,,,EAOPCA07I0,iPhone X,99,NSAC2010R,16.83-03,,,0,,0,0,,,,,,,,,,,,0,0,,2,2,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0,,,,,,-1,,,,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,22,,KO,2,3,,EAIPROGGR0,iPhone X,99,NSAC1010R,16.83-03,,,0,,50000,10000,0,11,,0,3,0,0,0,,2,1,0,0,,5,CERT,1,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,"iPhone10,3",14.7.1,KT,ko_KR,WIFI,0,,,KT,P,0,FRAUD,,,,
nacf_2022.11.17,message,2022-11-17 14:54,21,,KO,4,3,,EAIPROGGR0,SM-G960N,99,NSAC1010R,16.83-06,,,0,,50000,10000,0,0A,,0,3,0,0,0,,2,1,0,0,,2,CERT,1,null,KR,18,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,SM-G960N,10,SKTelecom,ko_KR,WIFI,-1,N,<unknown ssid>,SKTelecom,P,0,N,,,,
nacf_2022.11.17,message,2022-11-17 14:54,21,,KO,4,,,EAIPROGGR0,SM-F926N,99,NSAC1010R,16.85-02,,,0,,50000,10000,0,11,,0,0,0,0,0,6,2,1,0,0,,5,CERT,3,null,KR,11,null,N,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,1,0,SM-F926N,11,SKTelecom,ko_KR,MOBILE,-1,N,<unknown ssid>,SK Telecom,P,40,N,,,,
